first_name,second_name,name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,xG,xA,xGp90,xAp90,price
Pierre-Emerick,Aubameyang,Pierre-Emerick Aubameyang,4,1,44,1036,16,132.4,217.6,582,7,131,92.9,6,0,3,1.8,96,FWD,6.89,0.8,0.598552124,0.069498069,9.6
Alexandre,Lacazette,Alexandre Lacazette,2,2,33,698,6,165.7,179.2,269,1,119,61.3,4,0,0,6.4,84,FWD,2.77,0.92,0.357163324,0.118624642,8.4
Edward,Nketiah,Edward Nketiah,0,0,3,38,2,33.4,11,17,0,12,6.2,0,0,0,0.2,54,FWD,0.48,0.27,1.136842105,0.639473684,5.4
Folarin,Balogun,Folarin Balogun,0,0,2,69,1,3.7,4.2,17,0,2,1.9,0,0,0,0.3,47,FWD,0.16,0,0.208695652,0,4.7
Ollie,Watkins,Ollie Watkins,5,2,61,1271,21,210.6,291.4,641,9,194,114.3,4,0,3,21.2,79,FWD,5.59,0.89,0.395830055,0.063021243,7.9
Wesley,Moraes,Wesley Moraes,0,0,1,1,0,0.5,0,0,0,2,0,0,0,0,0.1,54,FWD,0,0,0,0,5.4
Mbwana Ally,Samatta,Mbwana Ally Samatta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,FWD,0,0,0,0,5.5
Keinan,Davis,Keinan Davis,0,0,1,11,0,1,0.4,0,0,2,0.1,0,0,0,2.9,45,FWD,0,0,0,0,4.5
Danny,Ings,Danny Ings,3,2,43,870,14,41.2,172.4,255,4,155,46.7,4,0,1,7.9,77,FWD,2.02,0.16,0.208965517,0.016551724,7.7
Cameron,Archer,Cameron Archer,0,0,3,24,0,0.8,0,18,0,3,1.6,0,0,0,1.4,45,FWD,0.03,0,0.1125,0,4.5
Ivan,Toney,Ivan Toney,4,2,55,1260,19,220.1,280.4,461,7,191,96.2,4,0,2,11.4,66,FWD,4.03,3.31,0.287857143,0.236428571,6.6
Marcus,Forss,Marcus Forss,0,1,10,192,4,12.2,20.6,54,0,31,8.5,0,0,0,0.1,53,FWD,0.25,0.42,0.1171875,0.196875,5.3
Halil,Dervişoğlu,Halil Dervişoğlu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,FWD,0,0,0,0,5.4
Nathan,Young-Coombes,Nathan Young-Coombes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,45,FWD,0,0,0,0,4.5
Neal,Maupay,Neal Maupay,6,0,55,1014,13,147.5,229.8,329,11,177,70,4,0,4,4,64,FWD,5.53,0.83,0.490828402,0.073668639,6.4
Aaron,Connolly,Aaron Connolly,0,0,5,154,1,13.1,2.4,18,0,12,3.1,0,0,0,0.1,53,FWD,0.6,0.38,0.350649351,0.222077922,5.3
Danny,Welbeck,Danny Welbeck,1,0,14,238,2,17,50,64,3,41,13.2,1,0,0,0.1,59,FWD,0.49,0.09,0.185294118,0.034033613,5.9
Florin,Andone,Florin Andone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,FWD,0,0,0,0,5
Andi,Zeqiri,Andi Zeqiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,45,FWD,0,0,0,0,4.5
Jürgen,Locadia,Jürgen Locadia,0,0,1,22,0,1.1,0,3,0,0,0.1,0,0,0,2.1,45,FWD,0.06,0,0.245454545,0,4.5
Evan,Ferguson,Evan Ferguson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,FWD,0,0,0,0,4.5
Jay,Rodriguez,Jay Rodriguez,0,1,14,350,0,53.3,29.8,150,0,41,22.8,2,0,3,0.6,52,FWD,0.85,0.93,0.218571429,0.239142857,5.2
Ashley,Barnes,Ashley Barnes,0,0,9,378,10,73.8,29.2,104,0,2,20,1,0,2,0.7,52,FWD,0.66,0.39,0.157142857,0.092857143,5.2
Chris,Wood,Chris Wood,3,0,42,1196,21,112,146.4,352,3,112,60.3,1,0,1,1.8,67,FWD,3.9,0.31,0.293478261,0.023327759,6.7
Matej,Vydra,Matej Vydra,1,1,23,326,4,37.4,80,139,2,66,25.4,0,0,0,0.5,52,FWD,1.12,0.16,0.309202454,0.044171779,5.2
Lewis,Richardson,Lewis Richardson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,45,FWD,0,0,0,0,4.5
